allocation_id,work_order_id,material_id,required_quantity,allocated_quantity,shortage_quantity
ALC-0000001,WO-2025-000001,MAT-00951,2290,2290,0
ALC-0000002,WO-2025-000001,MAT-00605,4952,4952,0
ALC-0000003,WO-2025-000001,MAT-00153,3744,3744,0
ALC-0000004,WO-2025-000001,MAT-00604,3233,3233,0
ALC-0000005,WO-2025-000001,MAT-00912,2496,2496,0
ALC-0000006,WO-2025-000001,MAT-00930,3141,3141,0
ALC-0000007,WO-2025-000002,MAT-01150,357,357,0
ALC-0000008,WO-2025-000002,MAT-00549,475,475,0
ALC-0000009,WO-2025-000002,MAT-00819,702,702,0
ALC-0000010,WO-2025-000002,MAT-00025,266,266,0
ALC-0000011,WO-2025-000002,MAT-00100,555,555,0
ALC-0000012,WO-2025-000002,MAT-00721,1037,1037,0
ALC-0000013,WO-2025-000002,MAT-01164,295,295,0
ALC-0000014,WO-2025-000002,MAT-00976,300,300,0
ALC-0000015,WO-2025-000003,MAT-01082,211,211,0
ALC-0000016,WO-2025-000003,MAT-00547,197,197,0
ALC-0000017,WO-2025-000003,MAT-00037,50,50,0
ALC-0000018,WO-2025-000003,MAT-00409,130,130,0
ALC-0000019,WO-2025-000003,MAT-00156,198,198,0
ALC-0000020,WO-2025-000003,MAT-00496,162,162,0
ALC-0000021,WO-2025-000004,MAT-00786,465,465,0
ALC-0000022,WO-2025-000004,MAT-00320,129,129,0
ALC-0000023,WO-2025-000004,MAT-00543,268,268,0
ALC-0000024,WO-2025-000004,MAT-00465,261,261,0
ALC-0000025,WO-2025-000004,MAT-00779,274,274,0
ALC-0000026,WO-2025-000004,MAT-00436,438,438,0
ALC-0000027,WO-2025-000004,MAT-00652,347,347,0
ALC-0000028,WO-2025-000004,MAT-00270,425,425,0
ALC-0000029,WO-2025-000005,MAT-00075,940,940,0
ALC-0000030,WO-2025-000005,MAT-00420,1212,1212,0
ALC-0000031,WO-2025-000005,MAT-00286,331,331,0
ALC-0000032,WO-2025-000005,MAT-00955,1114,1114,0
ALC-0000033,WO-2025-000005,MAT-00319,395,395,0
ALC-0000034,WO-2025-000005,MAT-00701,1173,1173,0
ALC-0000035,WO-2025-000005,MAT-00434,714,714,0
ALC-0000036,WO-2025-000006,MAT-00998,543,543,0
ALC-0000037,WO-2025-000006,MAT-01061,561,561,0
ALC-0000038,WO-2025-000006,MAT-00254,602,602,0
ALC-0000039,WO-2025-000006,MAT-00354,1101,1101,0
ALC-0000040,WO-2025-000006,MAT-00423,936,936,0
ALC-0000041,WO-2025-000006,MAT-00163,638,638,0
ALC-0000042,WO-2025-000006,MAT-00356,543,543,0
ALC-0000043,WO-2025-000007,MAT-00664,1706,1706,0
ALC-0000044,WO-2025-000007,MAT-01151,2400,2400,0
ALC-0000045,WO-2025-000007,MAT-00549,921,921,0
ALC-0000046,WO-2025-000007,MAT-00296,2487,2487,0
ALC-0000047,WO-2025-000008,MAT-00468,4706,4706,0
ALC-0000048,WO-2025-000008,MAT-00632,4116,4116,0
ALC-0000049,WO-2025-000008,MAT-01128,3093,3093,0
ALC-0000050,WO-2025-000008,MAT-00340,1382,1382,0
