receipt_id,po_id,po_line_id,supplier_id,material_id,warehouse_id,factory_id,receipt_date,quantity_delivered,quantity_accepted,quantity_rejected,delivery_variance_days,damage_detected,created_at
GR-0000001,PO-2025-00002,POL-0000002,SUP-0083,MAT-00677,WH-MX-RAW-01,FAC-MX-01,2026-01-18,44,36,8,2,True,2026-01-18T00:00:00
GR-0000002,PO-2025-00002,POL-0000003,SUP-0083,MAT-00787,WH-MX-RAW-01,FAC-MX-01,2026-01-20,198,192,6,4,True,2026-01-20T00:00:00
GR-0000003,PO-2025-00004,POL-0000005,SUP-0094,MAT-00399,WH-MX-RAW-01,FAC-MX-01,2025-12-18,160,160,0,-1,False,2025-12-18T00:00:00
GR-0000004,PO-2025-00004,POL-0000006,SUP-0094,MAT-01121,WH-MX-RAW-01,FAC-MX-01,2025-12-21,327,327,0,2,False,2025-12-21T00:00:00
GR-0000005,PO-2025-00004,POL-0000007,SUP-0094,MAT-00432,WH-MX-RAW-01,FAC-MX-01,2025-12-19,501,501,0,0,False,2025-12-19T00:00:00
GR-0000006,PO-2025-00005,POL-0000008,SUP-0030,MAT-00136,WH-EU-RAW-01,FAC-EU-01,2026-03-12,63,51,12,-3,True,2026-03-12T00:00:00
GR-0000007,PO-2025-00006,POL-0000009,SUP-0084,MAT-00960,WH-EU-RAW-01,FAC-EU-01,2026-04-13,1061,1028,33,3,True,2026-04-13T00:00:00
GR-0000008,PO-2025-00006,POL-0000010,SUP-0084,MAT-00702,WH-EU-RAW-01,FAC-EU-01,2026-04-15,173,160,13,5,True,2026-04-15T00:00:00
GR-0000009,PO-2025-00007,POL-0000011,SUP-0049,MAT-00763,WH-MX-RAW-01,FAC-MX-01,2025-08-16,2302,2149,153,0,True,2025-08-16T00:00:00
GR-0000010,PO-2025-00008,POL-0000012,SUP-0069,MAT-00678,WH-APAC-RAW-01,FAC-APAC-01,2025-08-11,1679,1666,13,0,True,2025-08-11T00:00:00
GR-0000011,PO-2025-00008,POL-0000013,SUP-0069,MAT-00572,WH-APAC-RAW-01,FAC-APAC-01,2025-08-11,1056,1050,6,0,True,2025-08-11T00:00:00
GR-0000012,PO-2025-00008,POL-0000014,SUP-0069,MAT-00503,WH-APAC-RAW-01,FAC-APAC-01,2025-08-07,515,502,13,-4,True,2025-08-07T00:00:00
GR-0000013,PO-2025-00009,POL-0000015,SUP-0089,MAT-00046,WH-MX-RAW-01,FAC-MX-01,2026-01-06,220,187,33,6,True,2026-01-06T00:00:00
GR-0000014,PO-2025-00009,POL-0000016,SUP-0089,MAT-00829,WH-MX-RAW-01,FAC-MX-01,2026-01-03,1205,1085,120,3,True,2026-01-03T00:00:00
GR-0000015,PO-2025-00009,POL-0000017,SUP-0089,MAT-00616,WH-MX-RAW-01,FAC-MX-01,2025-12-29,2251,2058,193,-2,True,2025-12-29T00:00:00
GR-0000016,PO-2025-00010,POL-0000018,SUP-0083,MAT-00528,WH-US-RAW-01,FAC-US-01,2025-11-13,46,46,0,6,False,2025-11-13T00:00:00
GR-0000017,PO-2025-00010,POL-0000019,SUP-0083,MAT-00510,WH-US-RAW-01,FAC-US-01,2025-11-06,285,265,20,-1,True,2025-11-06T00:00:00
GR-0000018,PO-2025-00010,POL-0000020,SUP-0083,MAT-00314,WH-US-RAW-01,FAC-US-01,2025-11-14,1176,1110,66,7,True,2025-11-14T00:00:00
GR-0000019,PO-2025-00011,POL-0000021,SUP-0030,MAT-01111,WH-APAC-RAW-01,FAC-APAC-01,2026-03-31,1162,1009,153,2,True,2026-03-31T00:00:00
GR-0000020,PO-2025-00013,POL-0000024,SUP-0072,MAT-00117,WH-MX-RAW-01,FAC-MX-01,2025-11-14,102,48,54,0,True,2025-11-14T00:00:00
GR-0000021,PO-2025-00014,POL-0000025,SUP-0068,MAT-00063,WH-APAC-RAW-01,FAC-APAC-01,2025-08-25,1129,1116,13,0,True,2025-08-25T00:00:00
GR-0000022,PO-2025-00015,POL-0000026,SUP-0024,MAT-01008,WH-MX-RAW-01,FAC-MX-01,2026-02-18,536,516,20,4,True,2026-02-18T00:00:00
GR-0000023,PO-2025-00015,POL-0000027,SUP-0024,MAT-00338,WH-MX-RAW-01,FAC-MX-01,2026-02-11,234,221,13,-3,True,2026-02-11T00:00:00
GR-0000024,PO-2025-00015,POL-0000028,SUP-0024,MAT-00670,WH-MX-RAW-01,FAC-MX-01,2026-02-14,3373,3140,233,0,True,2026-02-14T00:00:00
GR-0000025,PO-2025-00016,POL-0000029,SUP-0095,MAT-00170,WH-US-RAW-01,FAC-US-01,2025-08-31,800,774,26,0,True,2025-08-31T00:00:00
GR-0000026,PO-2025-00016,POL-0000030,SUP-0095,MAT-00878,WH-US-RAW-01,FAC-US-01,2025-08-28,742,729,13,-3,True,2025-08-28T00:00:00
GR-0000027,PO-2025-00017,POL-0000031,SUP-0078,MAT-00190,WH-EU-RAW-01,FAC-EU-01,2026-03-02,1533,1453,80,-1,True,2026-03-02T00:00:00
GR-0000028,PO-2025-00018,POL-0000032,SUP-0052,MAT-00752,WH-APAC-RAW-01,FAC-APAC-01,2025-11-08,186,180,6,0,True,2025-11-08T00:00:00
GR-0000029,PO-2025-00018,POL-0000033,SUP-0052,MAT-00080,WH-APAC-RAW-01,FAC-APAC-01,2025-11-11,249,229,20,3,True,2025-11-11T00:00:00
GR-0000030,PO-2025-00018,POL-0000034,SUP-0052,MAT-00169,WH-APAC-RAW-01,FAC-APAC-01,2025-11-12,2476,2283,193,4,True,2025-11-12T00:00:00
GR-0000031,PO-2025-00019,POL-0000035,SUP-0093,MAT-00001,WH-EU-RAW-01,FAC-EU-01,2026-02-11,148,108,40,4,True,2026-02-11T00:00:00
GR-0000032,PO-2025-00019,POL-0000036,SUP-0093,MAT-00548,WH-EU-RAW-01,FAC-EU-01,2026-02-24,843,663,180,17,True,2026-02-24T00:00:00
GR-0000033,PO-2025-00019,POL-0000037,SUP-0093,MAT-01078,WH-EU-RAW-01,FAC-EU-01,2026-02-25,64,45,19,18,True,2026-02-25T00:00:00
GR-0000034,PO-2025-00020,POL-0000038,SUP-0064,MAT-00583,WH-EU-RAW-01,FAC-EU-01,2025-06-04,1629,1503,126,-1,True,2025-06-04T00:00:00
GR-0000035,PO-2025-00020,POL-0000039,SUP-0064,MAT-01055,WH-EU-RAW-01,FAC-EU-01,2025-06-01,34,24,10,-4,True,2025-06-01T00:00:00
GR-0000036,PO-2025-00020,POL-0000040,SUP-0064,MAT-00459,WH-EU-RAW-01,FAC-EU-01,2025-06-09,939,859,80,4,True,2025-06-09T00:00:00
GR-0000037,PO-2025-00021,POL-0000041,SUP-0113,MAT-00066,WH-MX-RAW-01,FAC-MX-01,2026-01-04,362,316,46,0,True,2026-01-04T00:00:00
GR-0000038,PO-2025-00021,POL-0000042,SUP-0113,MAT-00735,WH-MX-RAW-01,FAC-MX-01,2026-01-04,480,454,26,0,True,2026-01-04T00:00:00
GR-0000039,PO-2025-00022,POL-0000043,SUP-0051,MAT-00628,WH-APAC-RAW-01,FAC-APAC-01,2025-11-18,417,404,13,-1,True,2025-11-18T00:00:00
GR-0000040,PO-2025-00022,POL-0000044,SUP-0051,MAT-00634,WH-APAC-RAW-01,FAC-APAC-01,2025-11-18,366,353,13,-1,True,2025-11-18T00:00:00
GR-0000041,PO-2025-00022,POL-0000045,SUP-0051,MAT-00432,WH-APAC-RAW-01,FAC-APAC-01,2025-11-17,981,928,53,-2,True,2025-11-17T00:00:00
GR-0000042,PO-2025-00023,POL-0000046,SUP-0059,MAT-00305,WH-EU-RAW-01,FAC-EU-01,2026-02-03,150,137,13,4,True,2026-02-03T00:00:00
GR-0000043,PO-2025-00023,POL-0000047,SUP-0059,MAT-00221,WH-EU-RAW-01,FAC-EU-01,2026-01-31,4992,4298,694,1,True,2026-01-31T00:00:00
GR-0000044,PO-2025-00024,POL-0000048,SUP-0005,MAT-00259,WH-EU-RAW-01,FAC-EU-01,2025-07-20,2279,1985,294,0,True,2025-07-20T00:00:00
GR-0000045,PO-2025-00025,POL-0000049,SUP-0082,MAT-00490,WH-MX-RAW-01,FAC-MX-01,2026-04-06,367,294,73,13,True,2026-04-06T00:00:00
GR-0000046,PO-2025-00025,POL-0000050,SUP-0082,MAT-01131,WH-MX-RAW-01,FAC-MX-01,2026-04-03,97,77,20,10,True,2026-04-03T00:00:00
GR-0000047,PO-2025-00025,POL-0000051,SUP-0082,MAT-00620,WH-MX-RAW-01,FAC-MX-01,2026-03-31,237,204,33,7,True,2026-03-31T00:00:00
GR-0000048,PO-2025-00026,POL-0000052,SUP-0114,MAT-00430,WH-MX-RAW-01,FAC-MX-01,2026-03-17,1190,1043,147,0,True,2026-03-17T00:00:00
