movement_id,material_id,warehouse_id,factory_id,movement_date,movement_type,quantity,reference_doc_type,reference_doc_id
MOV-00000001,MAT-01171,WH-EU-RAW-01,FAC-EU-01,2025-05-14,GOODS_RECEIPT,3872,PURCHASE_ORDER,GR-0001143
MOV-00000002,MAT-00039,WH-EU-RAW-01,FAC-EU-01,2025-12-20,GOODS_RECEIPT,147,PURCHASE_ORDER,GR-0001418
MOV-00000003,MAT-00410,WH-EU-RAW-01,FAC-EU-01,2026-03-02,GOODS_RECEIPT,651,PURCHASE_ORDER,GR-0005215
MOV-00000004,MAT-00071,WH-EU-RAW-01,FAC-EU-01,2026-03-30,GOODS_RECEIPT,402,PURCHASE_ORDER,GR-0001288
MOV-00000005,MAT-00413,WH-EU-RAW-01,FAC-EU-01,2025-07-12,GOODS_RECEIPT,89,PURCHASE_ORDER,GR-0001702
MOV-00000006,MAT-00084,WH-APAC-RAW-01,FAC-APAC-01,2026-01-12,GOODS_RECEIPT,1105,PURCHASE_ORDER,GR-0004092
MOV-00000007,MAT-01127,WH-US-RAW-01,FAC-US-01,2025-04-05,GOODS_RECEIPT,362,PURCHASE_ORDER,GR-0001234
MOV-00000008,MAT-00796,WH-US-RAW-01,FAC-US-01,2026-01-13,GOODS_RECEIPT,1669,PURCHASE_ORDER,GR-0002454
MOV-00000009,MAT-01052,WH-EU-RAW-01,FAC-EU-01,2025-07-25,GOODS_RECEIPT,91,PURCHASE_ORDER,GR-0007563
MOV-00000010,MAT-00945,WH-APAC-RAW-01,FAC-APAC-01,2025-08-31,GOODS_RECEIPT,356,PURCHASE_ORDER,GR-0007645
MOV-00000011,MAT-00038,WH-MX-RAW-01,FAC-MX-01,2025-04-05,GOODS_RECEIPT,81,PURCHASE_ORDER,GR-0007924
MOV-00000012,MAT-00939,WH-EU-RAW-01,FAC-EU-01,2025-12-24,GOODS_RECEIPT,102,PURCHASE_ORDER,GR-0003051
MOV-00000013,MAT-00881,WH-MX-RAW-01,FAC-MX-01,2025-11-03,GOODS_RECEIPT,439,PURCHASE_ORDER,GR-0002288
MOV-00000014,MAT-01158,WH-EU-RAW-01,FAC-EU-01,2025-07-03,GOODS_RECEIPT,158,PURCHASE_ORDER,GR-0003986
MOV-00000015,MAT-00372,WH-EU-RAW-01,FAC-EU-01,2025-06-26,GOODS_RECEIPT,921,PURCHASE_ORDER,GR-0002058
MOV-00000016,MAT-01175,WH-US-RAW-01,FAC-US-01,2025-05-26,GOODS_RECEIPT,148,PURCHASE_ORDER,GR-0004815
MOV-00000017,MAT-00505,WH-APAC-RAW-01,FAC-APAC-01,2025-05-25,GOODS_RECEIPT,53,PURCHASE_ORDER,GR-0006890
MOV-00000018,MAT-01150,WH-APAC-RAW-01,FAC-APAC-01,2025-11-10,GOODS_RECEIPT,113,PURCHASE_ORDER,GR-0005652
MOV-00000019,MAT-00290,WH-US-RAW-01,FAC-US-01,2025-05-09,GOODS_RECEIPT,2007,PURCHASE_ORDER,GR-0002125
MOV-00000020,MAT-00919,WH-EU-RAW-01,FAC-EU-01,2026-01-06,GOODS_RECEIPT,102,PURCHASE_ORDER,GR-0005939
MOV-00000021,MAT-00094,WH-EU-RAW-01,FAC-EU-01,2026-01-22,GOODS_RECEIPT,224,PURCHASE_ORDER,GR-0003843
MOV-00000022,MAT-00619,WH-MX-RAW-01,FAC-MX-01,2025-12-10,GOODS_RECEIPT,94,PURCHASE_ORDER,GR-0006642
MOV-00000023,MAT-00219,WH-EU-RAW-01,FAC-EU-01,2025-11-08,GOODS_RECEIPT,207,PURCHASE_ORDER,GR-0005506
MOV-00000024,MAT-00722,WH-US-RAW-01,FAC-US-01,2025-12-06,GOODS_RECEIPT,197,PURCHASE_ORDER,GR-0007161
MOV-00000025,MAT-00650,WH-APAC-RAW-01,FAC-APAC-01,2025-10-13,GOODS_RECEIPT,139,PURCHASE_ORDER,GR-0002486
MOV-00000026,MAT-00541,WH-APAC-RAW-01,FAC-APAC-01,2026-01-07,GOODS_RECEIPT,959,PURCHASE_ORDER,GR-0007991
MOV-00000027,MAT-00672,WH-US-RAW-01,FAC-US-01,2025-08-09,GOODS_RECEIPT,123,PURCHASE_ORDER,GR-0006794
MOV-00000028,MAT-00593,WH-US-RAW-01,FAC-US-01,2025-06-30,GOODS_RECEIPT,779,PURCHASE_ORDER,GR-0000454
MOV-00000029,MAT-00122,WH-MX-RAW-01,FAC-MX-01,2025-11-21,GOODS_RECEIPT,131,PURCHASE_ORDER,GR-0005305
MOV-00000030,MAT-00010,WH-APAC-RAW-01,FAC-APAC-01,2025-05-16,GOODS_RECEIPT,388,PURCHASE_ORDER,GR-0006179
MOV-00000031,MAT-01091,WH-MX-RAW-01,FAC-MX-01,2026-01-27,GOODS_RECEIPT,4544,PURCHASE_ORDER,GR-0005943
MOV-00000032,MAT-00186,WH-US-RAW-01,FAC-US-01,2026-03-22,GOODS_RECEIPT,803,PURCHASE_ORDER,GR-0008457
MOV-00000033,MAT-01079,WH-APAC-RAW-01,FAC-APAC-01,2025-06-25,GOODS_RECEIPT,4504,PURCHASE_ORDER,GR-0005131
MOV-00000034,MAT-00910,WH-EU-RAW-01,FAC-EU-01,2025-05-15,GOODS_RECEIPT,2035,PURCHASE_ORDER,GR-0004394
MOV-00000035,MAT-00567,WH-MX-RAW-01,FAC-MX-01,2025-06-23,GOODS_RECEIPT,1262,PURCHASE_ORDER,GR-0005737
MOV-00000036,MAT-00886,WH-US-RAW-01,FAC-US-01,2025-09-21,GOODS_RECEIPT,164,PURCHASE_ORDER,GR-0000081
MOV-00000037,MAT-00709,WH-APAC-RAW-01,FAC-APAC-01,2025-04-02,GOODS_RECEIPT,102,PURCHASE_ORDER,GR-0000767
MOV-00000038,MAT-00906,WH-US-RAW-01,FAC-US-01,2026-02-21,GOODS_RECEIPT,131,PURCHASE_ORDER,GR-0002752
MOV-00000039,MAT-01050,WH-US-RAW-01,FAC-US-01,2026-03-02,GOODS_RECEIPT,1659,PURCHASE_ORDER,GR-0000322
MOV-00000040,MAT-00645,WH-APAC-RAW-01,FAC-APAC-01,2025-12-29,GOODS_RECEIPT,1081,PURCHASE_ORDER,GR-0005028
MOV-00000041,MAT-00725,WH-US-RAW-01,FAC-US-01,2025-08-29,GOODS_RECEIPT,3586,PURCHASE_ORDER,GR-0000648
MOV-00000042,MAT-00440,WH-EU-RAW-01,FAC-EU-01,2025-05-09,GOODS_RECEIPT,96,PURCHASE_ORDER,GR-0003108
MOV-00000043,MAT-00097,WH-APAC-RAW-01,FAC-APAC-01,2025-09-13,GOODS_RECEIPT,1612,PURCHASE_ORDER,GR-0000510
MOV-00000044,MAT-00810,WH-APAC-RAW-01,FAC-APAC-01,2026-04-15,GOODS_RECEIPT,320,PURCHASE_ORDER,GR-0004327
MOV-00000045,MAT-01075,WH-US-RAW-01,FAC-US-01,2026-03-14,GOODS_RECEIPT,560,PURCHASE_ORDER,GR-0006833
MOV-00000046,MAT-00647,WH-EU-RAW-01,FAC-EU-01,2025-07-07,GOODS_RECEIPT,291,PURCHASE_ORDER,GR-0006150
MOV-00000047,MAT-00451,WH-US-RAW-01,FAC-US-01,2025-11-22,GOODS_RECEIPT,117,PURCHASE_ORDER,GR-0002848
MOV-00000048,MAT-00277,WH-EU-RAW-01,FAC-EU-01,2026-02-24,GOODS_RECEIPT,2234,PURCHASE_ORDER,GR-0006330
MOV-00000049,MAT-00513,WH-APAC-RAW-01,FAC-APAC-01,2025-08-04,GOODS_RECEIPT,188,PURCHASE_ORDER,GR-0005779
MOV-00000050,MAT-00997,WH-US-RAW-01,FAC-US-01,2025-11-03,GOODS_RECEIPT,826,PURCHASE_ORDER,GR-0006693
MOV-00000051,MAT-01118,WH-MX-RAW-01,FAC-MX-01,2026-03-16,GOODS_RECEIPT,397,PURCHASE_ORDER,GR-0007622
MOV-00000052,MAT-00002,WH-EU-RAW-01,FAC-EU-01,2025-10-06,GOODS_RECEIPT,221,PURCHASE_ORDER,GR-0006069
MOV-00000053,MAT-00886,WH-EU-RAW-01,FAC-EU-01,2025-10-29,GOODS_RECEIPT,100,PURCHASE_ORDER,GR-0001563
MOV-00000054,MAT-00647,WH-US-RAW-01,FAC-US-01,2025-10-14,GOODS_RECEIPT,328,PURCHASE_ORDER,GR-0004746
MOV-00000055,MAT-00738,WH-EU-RAW-01,FAC-EU-01,2026-01-09,GOODS_RECEIPT,64,PURCHASE_ORDER,GR-0006745
MOV-00000056,MAT-00998,WH-APAC-RAW-01,FAC-APAC-01,2025-08-25,GOODS_RECEIPT,65,PURCHASE_ORDER,GR-0007782
MOV-00000057,MAT-00566,WH-US-RAW-01,FAC-US-01,2026-01-21,GOODS_RECEIPT,1121,PURCHASE_ORDER,GR-0000430
MOV-00000058,MAT-00188,WH-APAC-RAW-01,FAC-APAC-01,2025-11-30,GOODS_RECEIPT,1221,PURCHASE_ORDER,GR-0005853
