po_line_id,po_id,line_number,material_id,quantity_ordered,unit_price,line_total,line_status
POL-0000001,PO-2025-00001,1,MAT-00888,214,16.51,3533.14,CANCELLED
POL-0000002,PO-2025-00002,1,MAT-00677,44,7.13,313.72,DELIVERED
POL-0000003,PO-2025-00002,2,MAT-00787,210,67.61,14198.1,DELIVERED
POL-0000004,PO-2025-00003,1,MAT-00452,2407,72.32,174074.24,PENDING
POL-0000005,PO-2025-00004,1,MAT-00399,160,22.77,3643.2,DELIVERED
POL-0000006,PO-2025-00004,2,MAT-01121,327,79.69,26058.63,DELIVERED
POL-0000007,PO-2025-00004,3,MAT-00432,501,2.59,1297.59,DELIVERED
POL-0000008,PO-2025-00005,1,MAT-00136,63,136.45,8596.35,DELIVERED
POL-0000009,PO-2025-00006,1,MAT-00960,1061,44.8,47532.8,DELIVERED
POL-0000010,PO-2025-00006,2,MAT-00702,173,85.18,14736.14,DELIVERED
POL-0000011,PO-2025-00007,1,MAT-00763,2302,434.25,999643.5,DELIVERED
POL-0000012,PO-2025-00008,1,MAT-00678,1679,160.83,270033.57,DELIVERED
POL-0000013,PO-2025-00008,2,MAT-00572,1056,154.68,163342.08,DELIVERED
POL-0000014,PO-2025-00008,3,MAT-00503,476,5.68,2703.68,DELIVERED
POL-0000015,PO-2025-00009,1,MAT-00046,220,11.46,2521.2,DELIVERED
POL-0000016,PO-2025-00009,2,MAT-00829,1205,16.67,20087.35,DELIVERED
POL-0000017,PO-2025-00009,3,MAT-00616,2103,30.43,63994.29,DELIVERED
POL-0000018,PO-2025-00010,1,MAT-00528,46,29.61,1362.06,DELIVERED
POL-0000019,PO-2025-00010,2,MAT-00510,285,9.74,2775.9,DELIVERED
POL-0000020,PO-2025-00010,3,MAT-00314,1176,68.97,81108.72,DELIVERED
POL-0000021,PO-2025-00011,1,MAT-01111,1162,19.73,22926.26,DELIVERED
POL-0000022,PO-2025-00012,1,MAT-00167,4793,67.37,322904.41,IN_TRANSIT
POL-0000023,PO-2025-00012,2,MAT-00136,204,136.45,27835.8,IN_TRANSIT
POL-0000024,PO-2025-00013,1,MAT-00117,144,23.25,3348.0,DELIVERED
POL-0000025,PO-2025-00014,1,MAT-00063,1129,7.25,8185.25,DELIVERED
POL-0000026,PO-2025-00015,1,MAT-01008,536,54.19,29045.84,DELIVERED
POL-0000027,PO-2025-00015,2,MAT-00338,234,17.48,4090.32,DELIVERED
POL-0000028,PO-2025-00015,3,MAT-00670,3373,91.39,308258.47,DELIVERED
POL-0000029,PO-2025-00016,1,MAT-00170,800,10.55,8440.0,DELIVERED
POL-0000030,PO-2025-00016,2,MAT-00878,742,33.42,24797.64,DELIVERED
