po_id,po_number,supplier_id,factory_id,warehouse_id,order_date,promised_delivery_date,status,total_amount,currency,created_at
PO-2025-00001,PO-000001,SUP-0023,FAC-US-01,WH-US-RAW-01,2025-04-02,2025-04-12,CANCELLED,3533.14,USD,2025-04-02T00:00:00
PO-2025-00002,PO-000002,SUP-0083,FAC-MX-01,WH-MX-RAW-01,2025-12-16,2026-01-16,DELIVERED,14511.82,USD,2025-12-16T00:00:00
PO-2025-00003,PO-000003,SUP-0019,FAC-US-01,WH-US-RAW-01,2026-04-19,2026-05-04,PENDING,174074.24,USD,2026-04-19T00:00:00
PO-2025-00004,PO-000004,SUP-0094,FAC-MX-01,WH-MX-RAW-01,2025-12-07,2025-12-19,DELIVERED,30999.42,USD,2025-12-07T00:00:00
PO-2025-00005,PO-000005,SUP-0030,FAC-EU-01,WH-EU-RAW-01,2026-02-12,2026-03-15,DELIVERED,8596.35,USD,2026-02-12T00:00:00
PO-2025-00006,PO-000006,SUP-0084,FAC-EU-01,WH-EU-RAW-01,2026-03-12,2026-04-10,DELIVERED,62268.94,USD,2026-03-12T00:00:00
PO-2025-00007,PO-000007,SUP-0049,FAC-MX-01,WH-MX-RAW-01,2025-07-29,2025-08-16,DELIVERED,999643.5,USD,2025-07-29T00:00:00
PO-2025-00008,PO-000008,SUP-0069,FAC-APAC-01,WH-APAC-RAW-01,2025-07-22,2025-08-11,DELIVERED,436079.33,USD,2025-07-22T00:00:00
PO-2025-00009,PO-000009,SUP-0089,FAC-MX-01,WH-MX-RAW-01,2025-12-10,2025-12-31,DELIVERED,86602.84,USD,2025-12-10T00:00:00
PO-2025-00010,PO-000010,SUP-0083,FAC-US-01,WH-US-RAW-01,2025-10-09,2025-11-07,DELIVERED,85246.68,USD,2025-10-09T00:00:00
PO-2025-00011,PO-000011,SUP-0030,FAC-APAC-01,WH-APAC-RAW-01,2026-02-20,2026-03-29,DELIVERED,22926.26,USD,2026-02-20T00:00:00
PO-2025-00012,PO-000012,SUP-0046,FAC-EU-01,WH-EU-RAW-01,2026-03-20,2026-04-17,IN_TRANSIT,350740.21,USD,2026-03-20T00:00:00
PO-2025-00013,PO-000013,SUP-0072,FAC-MX-01,WH-MX-RAW-01,2025-09-19,2025-11-14,DELIVERED,3348.0,USD,2025-09-19T00:00:00
PO-2025-00014,PO-000014,SUP-0068,FAC-APAC-01,WH-APAC-RAW-01,2025-08-02,2025-08-25,DELIVERED,8185.25,USD,2025-08-02T00:00:00
PO-2025-00015,PO-000015,SUP-0024,FAC-MX-01,WH-MX-RAW-01,2026-01-29,2026-02-14,DELIVERED,341394.63,USD,2026-01-29T00:00:00
PO-2025-00016,PO-000016,SUP-0095,FAC-US-01,WH-US-RAW-01,2025-08-19,2025-08-31,DELIVERED,33237.64,USD,2025-08-19T00:00:00
PO-2025-00017,PO-000017,SUP-0078,FAC-EU-01,WH-EU-RAW-01,2026-02-14,2026-03-03,DELIVERED,7143.78,USD,2026-02-14T00:00:00
PO-2025-00018,PO-000018,SUP-0052,FAC-APAC-01,WH-APAC-RAW-01,2025-10-14,2025-11-08,DELIVERED,53494.35,USD,2025-10-14T00:00:00
PO-2025-00019,PO-000019,SUP-0093,FAC-EU-01,WH-EU-RAW-01,2025-12-26,2026-02-07,OVERDUE,24706.9,USD,2025-12-26T00:00:00
PO-2025-00020,PO-000020,SUP-0064,FAC-EU-01,WH-EU-RAW-01,2025-05-16,2025-06-05,DELIVERED,104924.54,USD,2025-05-16T00:00:00
PO-2025-00021,PO-000021,SUP-0113,FAC-MX-01,WH-MX-RAW-01,2025-12-14,2026-01-04,DELIVERED,93453.36,USD,2025-12-14T00:00:00
PO-2025-00022,PO-000022,SUP-0051,FAC-APAC-01,WH-APAC-RAW-01,2025-10-23,2025-11-19,DELIVERED,17661.3,USD,2025-10-23T00:00:00
PO-2025-00023,PO-000023,SUP-0059,FAC-EU-01,WH-EU-RAW-01,2025-12-03,2026-01-30,DELIVERED,1765354.8,USD,2025-12-03T00:00:00
PO-2025-00024,PO-000024,SUP-0005,FAC-EU-01,WH-EU-RAW-01,2025-06-30,2025-07-20,DELIVERED,100549.48,USD,2025-06-30T00:00:00
PO-2025-00025,PO-000025,SUP-0082,FAC-MX-01,WH-MX-RAW-01,2026-01-15,2026-03-24,DELIVERED,38419.41,USD,2026-01-15T00:00:00
PO-2025-00026,PO-000026,SUP-0114,FAC-MX-01,WH-MX-RAW-01,2026-03-02,2026-03-17,DELIVERED,4212.6,USD,2026-03-02T00:00:00
PO-2025-00027,PO-000027,SUP-0004,FAC-US-01,WH-US-RAW-01,2025-07-24,2025-08-23,DELIVERED,368927.54,USD,2025-07-24T00:00:00
PO-2025-00028,PO-000028,SUP-0039,FAC-MX-01,WH-MX-RAW-01,2025-05-16,2025-06-15,CANCELLED,445380.26,USD,2025-05-16T00:00:00
PO-2025-00029,PO-000029,SUP-0084,FAC-APAC-01,WH-APAC-RAW-01,2025-03-09,2025-04-06,DELIVERED,57160.52,USD,2025-03-09T00:00:00
PO-2025-00030,PO-000030,SUP-0107,FAC-APAC-01,WH-APAC-RAW-01,2025-12-19,2026-01-03,DELIVERED,160945.8,USD,2025-12-19T00:00:00
PO-2025-00031,PO-000031,SUP-0096,FAC-APAC-01,WH-APAC-RAW-01,2025-12-09,2025-12-27,DELIVERED,153323.57,USD,2025-12-09T00:00:00
PO-2025-00032,PO-000032,SUP-0093,FAC-EU-01,WH-EU-RAW-01,2025-11-21,2026-01-04,DELIVERED,18335.0,USD,2025-11-21T00:00:00
PO-2025-00033,PO-000033,SUP-0078,FAC-EU-01,WH-EU-RAW-01,2025-07-31,2025-08-23,DELIVERED,21080.49,USD,2025-07-31T00:00:00
PO-2025-00034,PO-000034,SUP-0011,FAC-US-01,WH-US-RAW-01,2025-10-02,2025-10-26,DELIVERED,7848.75,USD,2025-10-02T00:00:00
PO-2025-00035,PO-000035,SUP-0116,FAC-MX-01,WH-MX-RAW-01,2025-12-05,2025-12-17,OVERDUE,75335.73,USD,2025-12-05T00:00:00
PO-2025-00036,PO-000036,SUP-0100,FAC-US-01,WH-US-RAW-01,2025-11-06,2025-11-17,DELIVERED,51207.01,USD,2025-11-06T00:00:00
PO-2025-00037,PO-000037,SUP-0110,FAC-EU-01,WH-EU-RAW-01,2026-05-25,2026-06-13,PENDING,3487.68,USD,2026-05-25T00:00:00
PO-2025-00038,PO-000038,SUP-0036,FAC-US-01,WH-US-RAW-01,2025-06-12,2025-06-24,DELIVERED,28910.35,USD,2025-06-12T00:00:00
PO-2025-00039,PO-000039,SUP-0018,FAC-MX-01,WH-MX-RAW-01,2026-01-02,2026-01-25,DELIVERED,23191.08,USD,2026-01-02T00:00:00
PO-2025-00040,PO-000040,SUP-0109,FAC-APAC-01,WH-APAC-RAW-01,2025-10-07,2025-10-22,DELIVERED,23973.4,USD,2025-10-07T00:00:00
PO-2025-00041,PO-000041,SUP-0005,FAC-APAC-01,WH-APAC-RAW-01,2025-10-15,2025-11-06,CANCELLED,3793.79,USD,2025-10-15T00:00:00
PO-2025-00042,PO-000042,SUP-0020,FAC-EU-01,WH-EU-RAW-01,2026-01-09,2026-01-28,DELIVERED,4248.1,USD,2026-01-09T00:00:00
PO-2025-00043,PO-000043,SUP-0039,FAC-EU-01,WH-EU-RAW-01,2026-01-02,2026-02-01,DELIVERED,41061.89,USD,2026-01-02T00:00:00
PO-2025-00044,PO-000044,SUP-0018,FAC-US-01,WH-US-RAW-01,2026-05-30,2026-06-19,PENDING,145768.09,USD,2026-05-30T00:00:00
PO-2025-00045,PO-000045,SUP-0103,FAC-MX-01,WH-MX-RAW-01,2025-06-07,2025-07-20,DELIVERED,45721.54,USD,2025-06-07T00:00:00
PO-2025-00046,PO-000046,SUP-0013,FAC-EU-01,WH-EU-RAW-01,2025-05-22,2025-06-13,DELIVERED,62900.0,USD,2025-05-22T00:00:00
PO-2025-00047,PO-000047,SUP-0016,FAC-US-01,WH-US-RAW-01,2026-01-11,2026-02-02,DELIVERED,247.94,USD,2026-01-11T00:00:00
