inspection_id,receipt_id,material_id,supplier_id,inspection_date,sample_size,defect_count,defect_ppm,defect_type_code,disposition,inspector_id
QC-0000001,GR-0000001,MAT-00677,SUP-0083,2026-01-18,10,2,200000,DEF_SURFACE,REJECTED,INSP-121
QC-0000002,GR-0000002,MAT-00787,SUP-0083,2026-01-20,29,1,34482,DEF_METALLURGY,CONCESSION,INSP-108
QC-0000003,GR-0000003,MAT-00399,SUP-0094,2025-12-18,24,0,0,,ACCEPTED,INSP-116
QC-0000004,GR-0000004,MAT-01121,SUP-0094,2025-12-21,49,0,0,,ACCEPTED,INSP-113
QC-0000005,GR-0000005,MAT-00432,SUP-0094,2025-12-19,75,0,0,,ACCEPTED,INSP-103
QC-0000006,GR-0000006,MAT-00136,SUP-0030,2026-03-12,10,2,200000,DEF_METALLURGY,REJECTED,INSP-125
QC-0000007,GR-0000007,MAT-00960,SUP-0084,2026-04-13,159,5,31446,DEF_PACKAGING,CONCESSION,INSP-116
QC-0000008,GR-0000008,MAT-00702,SUP-0084,2026-04-15,25,2,80000,DEF_PACKAGING,REJECTED,INSP-115
QC-0000009,GR-0000009,MAT-00763,SUP-0049,2025-08-16,345,23,66666,DEF_CONTAMINATION,REJECTED,INSP-122
QC-0000010,GR-0000010,MAT-00678,SUP-0069,2025-08-11,251,2,7968,DEF_ELECTRICAL,CONCESSION,INSP-119
QC-0000011,GR-0000011,MAT-00572,SUP-0069,2025-08-11,158,1,6329,DEF_ELECTRICAL,CONCESSION,INSP-116
QC-0000012,GR-0000012,MAT-00503,SUP-0069,2025-08-07,77,2,25974,DEF_DIMENSIONAL,CONCESSION,INSP-122
QC-0000013,GR-0000013,MAT-00046,SUP-0089,2026-01-06,33,5,151515,DEF_ELECTRICAL,REJECTED,INSP-108
QC-0000014,GR-0000014,MAT-00829,SUP-0089,2026-01-03,180,18,100000,DEF_PACKAGING,REJECTED,INSP-114
QC-0000015,GR-0000015,MAT-00616,SUP-0089,2025-12-29,337,29,86053,DEF_METALLURGY,REJECTED,INSP-120
QC-0000016,GR-0000016,MAT-00528,SUP-0083,2025-11-13,10,0,0,,ACCEPTED,INSP-121
QC-0000017,GR-0000017,MAT-00510,SUP-0083,2025-11-06,42,3,71428,DEF_DIMENSIONAL,REJECTED,INSP-103
QC-0000018,GR-0000018,MAT-00314,SUP-0083,2025-11-14,176,10,56818,DEF_ELECTRICAL,REJECTED,INSP-114
QC-0000019,GR-0000019,MAT-01111,SUP-0030,2026-03-31,174,23,132183,DEF_ELECTRICAL,REJECTED,INSP-109
QC-0000020,GR-0000020,MAT-00117,SUP-0072,2025-11-14,15,8,533333,DEF_DIMENSIONAL,REJECTED,INSP-102
QC-0000021,GR-0000021,MAT-00063,SUP-0068,2025-08-25,169,2,11834,DEF_CONTAMINATION,CONCESSION,INSP-106
QC-0000022,GR-0000022,MAT-01008,SUP-0024,2026-02-18,80,3,37500,DEF_CONTAMINATION,CONCESSION,INSP-120
QC-0000023,GR-0000023,MAT-00338,SUP-0024,2026-02-11,35,2,57142,DEF_CONTAMINATION,REJECTED,INSP-106
QC-0000024,GR-0000024,MAT-00670,SUP-0024,2026-02-14,505,35,69306,DEF_CONTAMINATION,REJECTED,INSP-117
QC-0000025,GR-0000025,MAT-00170,SUP-0095,2025-08-31,120,4,33333,DEF_SURFACE,CONCESSION,INSP-107
QC-0000026,GR-0000026,MAT-00878,SUP-0095,2025-08-28,111,2,18018,DEF_SURFACE,CONCESSION,INSP-113
QC-0000027,GR-0000027,MAT-00190,SUP-0078,2026-03-02,229,12,52401,DEF_CONTAMINATION,REJECTED,INSP-107
QC-0000028,GR-0000028,MAT-00752,SUP-0052,2025-11-08,27,1,37037,DEF_PACKAGING,CONCESSION,INSP-106
QC-0000029,GR-0000029,MAT-00080,SUP-0052,2025-11-11,37,3,81081,DEF_CONTAMINATION,REJECTED,INSP-119
QC-0000030,GR-0000030,MAT-00169,SUP-0052,2025-11-12,371,29,78167,DEF_DIMENSIONAL,REJECTED,INSP-125
QC-0000031,GR-0000031,MAT-00001,SUP-0093,2026-02-11,22,6,272727,DEF_DIMENSIONAL,REJECTED,INSP-102
QC-0000032,GR-0000032,MAT-00548,SUP-0093,2026-02-24,126,27,214285,DEF_PACKAGING,REJECTED,INSP-123
QC-0000033,GR-0000033,MAT-01078,SUP-0093,2026-02-25,10,3,300000,DEF_SURFACE,REJECTED,INSP-114
QC-0000034,GR-0000034,MAT-00583,SUP-0064,2025-06-04,244,19,77868,DEF_ELECTRICAL,REJECTED,INSP-114
QC-0000035,GR-0000035,MAT-01055,SUP-0064,2025-06-01,10,3,300000,DEF_METALLURGY,REJECTED,INSP-110
QC-0000036,GR-0000036,MAT-00459,SUP-0064,2025-06-09,140,12,85714,DEF_CONTAMINATION,REJECTED,INSP-101
QC-0000037,GR-0000037,MAT-00066,SUP-0113,2026-01-04,54,7,129629,DEF_PACKAGING,REJECTED,INSP-107
QC-0000038,GR-0000038,MAT-00735,SUP-0113,2026-01-04,72,4,55555,DEF_PACKAGING,REJECTED,INSP-124
QC-0000039,GR-0000039,MAT-00628,SUP-0051,2025-11-18,62,2,32258,DEF_METALLURGY,CONCESSION,INSP-112
QC-0000040,GR-0000040,MAT-00634,SUP-0051,2025-11-18,54,2,37037,DEF_CONTAMINATION,CONCESSION,INSP-109
QC-0000041,GR-0000041,MAT-00432,SUP-0051,2025-11-17,147,8,54421,DEF_CONTAMINATION,REJECTED,INSP-122
